nohup: ignoring input
 * Serving Flask app "backendServer" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.122.8:8800/ (Press CTRL+C to quit)
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /input/datasets/Spaceship/rgb/0_train_0050.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Spaceship_output_2025-08-11-06-16-03/results/047.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Spaceship_output_2025-08-11-06-16-03/results/047_d.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /input/datasets/Robot/rgb/1_392_0092.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Robot_output_2025-08-11-06-16-03/results/002_d.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Robot_output_2025-08-11-06-16-03/results/078.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /input/datasets/Robot/rgb/0_201_0001.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Robot_output_2025-08-11-06-16-03/results/078_d.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Robot_output_2025-08-11-06-16-03/results/002.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /input/datasets/Robot/rgb/1_320_0020.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Robot_output_2025-08-11-06-16-03/results/073.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Robot_output_2025-08-11-06-16-03/results/073_d.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Robot_output_2025-08-11-06-16-03/results/083.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Robot_output_2025-08-11-06-16-03/results/083_d.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /input/datasets/Robot/rgb/2_190_0190.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Robot_output_2025-08-11-06-16-03/results/061.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:49] "GET /output/Robot_output_2025-08-11-06-16-03/results/061_d.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:03] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
